id|fecha_relevamiento|existe_trab_alum|antiguedad|empresa|sector|facilidad_est_emp|facilidad_est_inst|alu_trab_ocup|hora_sem_trab_alum|alu_trab_tarea|alu_trab_hace|rel_trab_carrera|alu_trab_desjub|alu_trab_fami|remuneracion|
611|26/07/2004|Trabajó al menos una hora|||||||Mas de 20 y menos de 35 horas|||Total|||1|
643|01/04/2002|||||||||||||||
677|01/04/2002|||||||||||||||
815|01/04/2002|||||||||||||||
885|13/03/2008|Trabajó al menos una hora||||||Permanente|35 o más horas|analista programador|Obrero o empleado|Total|S|N|S|
980|04/02/2003|||||||||||||||
980|01/04/2002|||||||||||||||
1040|01/04/2002|||||||||||||||
1278|01/04/2002|||||||||||||||
1316|05/12/2002||||||||Mas de 20 y menos de 35 horas|||Sin relación||||
1385|24/02/2005|Trabajó al menos una hora|||||||Mas de 20 y menos de 35 horas|||Total|||1|
1435|01/04/2002|||||||||||||||
1435|10/02/2003|Trabajó al menos una hora|||||||Mas de 20 y menos de 35 horas|||Sin relación||||
1594|01/04/2002|||||||||||||||
1619|01/04/2002|||||||||||||||
1646|14/03/2005|No esta pensando en trabajar||||||||||||||
1696|04/03/2004|Trabajó al menos una hora|||||||Mas de 20 y menos de 35 horas|||Parcial|||1|
1705|01/04/2002|||||||||||||||
1794|04/02/2003|||||||||||||||
1863|09/03/2006|Trabajó al menos una hora|||||||Mas de 10 y hasta 20 horas|||Total|||1|
1895|05/02/2003|||||||||||||||
1919|03/02/2003|Trabajó al menos una hora|||||||Hasta 10 horas|||Parcial||||
1993|01/04/2002|||||||||||||||
2012|16/03/2004|No esta pensando en trabajar|||||||35 o más horas|||Sin relación||||
2036|06/03/2003|||||||||||||||
2036|03/03/2007|Trabajó al menos una hora|||||||Hasta 10 horas|||Total|||1|
2047|05/02/2007|Trabajó al menos una hora|||||||Mas de 20 y menos de 35 horas|||Parcial|||1|
2157|06/02/2004|No esta pensando en trabajar||||||||||||||
2171|12/02/2008|No trabajó y no buscó trabajo en los últimos 30 días|||||||||||N|N|N|
