id|fecha_relevamiento|existe_trab_alum|antiguedad|empresa|sector|facilidad_est_emp|facilidad_est_inst|alu_trab_ocup|hora_sem_trab_alum|alu_trab_tarea|alu_trab_hace|rel_trab_carrera|alu_trab_desjub|alu_trab_fami|remuneracion|
3188|17/02/2010|Trabajó al menos una hora||||||Permanente|35 o m¿s horas|programador|Obrero o empleado|Total|N|N|S|
3199|21/04/2003|||||||||||||||
3207|05/11/2019|No esta pensando en trabajar|||||||||||N|N|N|
3211|24/03/2016|Trabajó al menos una hora||||||Permanente|35 o m¿s horas|Programador|Obrero o empleado|Total|S|N|S|
3217|18/04/2013|Trabajó al menos una hora||||||Permanente|Mas de 20 y menos de 35 horas|desarrollador|Obrero o empleado|Total|S|N|S|
3218|12/03/2022|Trabajó al menos una hora||||||Permanente|35 o m¿s horas|Programador / Docente|Obrero o empleado|Total|S|N|S|
3222|09/04/2018|No trabajó y no buscó trabajo en los últimos 30 días|||||||||||N|N|N|
3278|30/04/2003|||||||||||||||
3279|04/08/2004|||||||||||||||
3324|15/04/2004|||||||||||||||
3335|16/04/2004|||||||||||||||
3338|04/03/2006|No esta pensando en trabajar||||||||||||||
3339|15/03/2005|||||||||||||||
3341|09/03/2009|Trabajó al menos una hora||||||Permanente|Mas de 20 y menos de 35 horas|Desarrollador|Obrero o empleado|Total|N|N|S|
3360|05/03/2021|Trabajó al menos una hora|0||ENSEÑANZA|||Temporaria|Hasta 10 horas|clases particulares de ingles|Cuenta propia|Sin relación|N|N|S|
3362|01/07/2022|Trabajó al menos una hora|6|IBM|SERVICIO DE TRANSPORTE, DE ALMACENAMIENTO Y DE COMUNICACIONES|Poca|Poca|Permanente|35 o m¿s horas|QA Automation|Obrero o empleado|Total|S|N|S|
3389|05/02/2018|Trabajó al menos una hora|||SERVICIOS INMOBILIARIOS, EMPRESARIALES Y DE ALQUILER|||Permanente|Hasta 10 horas|QC Analyst|Obrero o empleado|Total|S|N|S|
3399|14/04/2004|||||||||||||||
3404|13/05/2022|Trabajó al menos una hora|6||SERVICIOS COMUNITARIOS, SOCIALES Y PERSONALES N.C.P.|Nada|Poca|Temporaria|35 o m¿s horas|Ingeniero de software|Cuenta propia|Total|S|N|S|
3405|14/04/2004|||||||||||||||
3411|16/04/2004|||||||||||||||
3416|16/04/2004|||||||||||||||
3448|20/02/2012|Trabajó al menos una hora||||||Permanente|Mas de 20 y menos de 35 horas|web developer & team leader|Obrero o empleado|Total|S|N|S|
3464|16/04/2004|||||||||||||||
3489|27/02/2006|No esta pensando en trabajar||||||||||||||
3507|18/04/2022|Trabajó al menos una hora||||||Permanente|35 o m¿s horas|Semi Senior Software Developer|Obrero o empleado|Total|S|N|S|
3518|23/04/2004|Trabajó al menos una hora|||||||Mas de 20 y menos de 35 horas|||Parcial|||1|
3520|23/04/2004|Trabajó al menos una hora|||||||Mas de 10 y hasta 20 horas|||Total||||
3524|23/04/2004|Trabajó al menos una hora|||||||Hasta 10 horas|||Sin relación||||
3539|06/04/2020|Trabajó al menos una hora|6|||||Permanente|35 o m¿s horas|programador|Obrero o empleado|Total|N|N|S|
3546|26/04/2004|Trabajó al menos una hora|||||||Mas de 20 y menos de 35 horas|||Total||||
3551|02/03/2010|Trabajó al menos una hora||||||Permanente|Mas de 20 y menos de 35 horas|telemarketer|Obrero o empleado|Sin relación|S|N|S|
3556|11/03/2010|Trabajó al menos una hora||||||Permanente|Mas de 20 y menos de 35 horas|Desarrollador|Obrero o empleado|Total|N|N|S|
3557|26/04/2004|Trabajó al menos una hora|||||||Mas de 10 y hasta 20 horas|||Total||||
3600|21/06/2022|Trabajó al menos una hora||||||Temporaria|Hasta 10 horas|Ayudante Alumno en UNICEN|Obrero o empleado|Total|S|N|S|
3608|07/02/2008|No esta pensando en trabajar||||||||||||||
3626|18/02/2016|Trabajó al menos una hora||||||Permanente|35 o m¿s horas|Consultor|Obrero o empleado|Total|S|N|S|
3630|17/03/2005|||||||||||||||
3660|22/03/2005|No esta pensando en trabajar||||||||||||||
3664|10/08/2006|No esta pensando en trabajar||||||||||||||
3666|11/08/2010|Trabajó al menos una hora||||||Permanente|35 o m¿s horas|programador|Obrero o empleado|Total|S|N|S|
3667|21/06/2022|Trabajó al menos una hora||||||Permanente|Hasta 10 horas|Docencia|Obrero o empleado|Total|N|N|N|
3676|23/02/2012|No trabajó y no buscó trabajo en los últimos 30 días|||||||||||N|N|N|
3679|29/03/2005|||||||||||||||
3681|17/02/2020|Trabajó al menos una hora|5|Ejercito Argentino||||Permanente|35 o m¿s horas|Desarrollador|Obrero o empleado|Total|S|N|S|
3685|02/03/2022|Trabajó al menos una hora|5|||||Temporaria|Hasta 10 horas|Profesora particular|Cuenta propia|Total|N|N|S|
3692|30/03/2005|||||||||||||||
