id|fecha_relevamiento|practica_deportes|hace_dep_gim_priv|hace_dep_univ|hace_dep_partic|hace_dep_otros|prac_dep_basquet|prac_dep_natacion|prac_dep_futbol|prac_dep_gimnasia|prac_dep_tenis|prac_dep_handball|prac_dep_voley|prac_dep_otros|
4050|07/10/2014|S|N|S|S|N|N|N|N|N|N|N|S|N|
4069|26/03/2013|N|N|N|N|N|N|N|N|N|N|N|N|N|
4071|25/02/2009|S|S|N|N|N|N|N|S|N|N|N|N|N|
4089|28/02/2011|S|N|N|S|N|S|N|N|N|N|N|N|S|
4090|22/02/2010|N|N|N|N|N|N|N|N|N|N|N|N|N|
4112|22/03/2007||||||||||||||
4115|21/06/2022|N|N|N|N|N|N|N|N|N|N|N|N|N|
4120|08/03/2009|S|N|N|S|S|N|N|S|N|N|N|N|N|
4121|05/11/2019|S|N|N|S|N|N|N|N|N|S|N|N|N|
4127|10/02/2015|S|N|N|N|N|N|S|N|N|N|N|N|N|
4130|13/03/2013|N|N|N|N|N|N|N|N|N|N|N|N|N|
4133|23/03/2007||||||||||||||
4134|03/02/2009|S|N|N|N|N|N|N|N|N|S|N|N|N|
4136|22/03/2007|N|||||||||||||
4140|14/02/2017|S|N|N|S|N|N|N|S|N|N|N|N|N|
4141|13/12/2018|S|N|N|S|N|N|N|S|N|N|N|N|S|
4154|23/01/2022|S|N|N|S|N|S|N|N|N|N|N|N|N|
4172|26/03/2007||||||||||||||
4173|02/03/2015|S|N|N|N|S|N|N|S|N|N|N|N|S|
4190|27/03/2007||||||||||||||
4233|02/05/2007||||||||||||||
4236|20/04/2017|S|S|N|S|N|S|S|N|S|N|N|N|N|
4238|22/05/2007||||||||||||||
4248|28/03/2018|S|N|N|S|N|N|N|S|N|N|N|N|N|
4253|11/02/2011|S|S|N|N|N|N|N|S|N|N|N|N|S|
4265|05/10/2017|N|N|N|N|N|N|N|N|N|N|N|N|N|
4271|21/02/2008||||||||||||||
4276|06/02/2017|S|N|N|S|N|N|N|S|N|N|N|N|S|
4296|21/06/2022|N|N|N|N|N|N|N|N|N|N|N|N|N|
4299|31/05/2021|N|N|N|N|N|N|N|N|N|N|N|N|N|
